AvgAltitude;MaxAltitude;CurrentAltitude;FovValue;LastAction;Life
-133.92336;-101.42351;-133.50414;20744.188;shoot;12;VICTORY
-129.7221;-113.41042;-126.12865;16254.324;explore;4;VICTORY
-125.95096;-109.013535;-121.563194;15661.004;shoot;8;VICTORY
-126.49417;-105.33131;-123.036064;16921.676;explore;2;VICTORY
-125.313;-110.722725;-124.14189;20195.938;shoot;10;VICTORY
-127.835205;-114.69574;-124.78843;18826.418;explore;6;VICTORY
-137.29822;-111.38421;-134.85535;16202.785;shoot;4;VICTORY
-129.29172;-112.976166;-127.6993;18895.371;explore;8;VICTORY
-131.93782;-112.23229;-128.52904;15548.62;explore;6;VICTORY
-123.4959;-110.181946;-122.22057;20223.482;shoot;8;VICTORY
-131.69861;-113.25799;-130.13568;17490.7;shoot;8;VICTORY
-126.92324;-99.035965;-125.79764;19289.504;explore;6;VICTORY
-127.83041;-108.104164;-123.86683;15926.743;shoot;4;VICTORY
-119.12488;-109.0867;-115.281746;18177.34;shoot;8;VICTORY
-138.03406;-111.89845;-138.28687;17878.816;shoot;4;VICTORY
